Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
83,https://www.pepper.pl/promocje/dysk-ssd-crucial-mx500-1tb-684347,Dysk SSD Crucial MX500 1TB,"['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'SSD']",1053,20,231zł,275zł,-16%,Amazon.de
84,https://www.pepper.pl/promocje/web-developer-od-podstaw-w-15-dni-wielka-aktualizacja-2023-684310,Web developer od podstaw w 15 dni - WIELKA AKTUALIZACJA 2023,"['Home', 'Za darmo']",634,44,-1,-1,-1,Udemy
85,https://www.pepper.pl/promocje/gitara-elektryczna-prs-se-starla-bk-2021-684063,Gitara elektryczna PRS SE Starla BK 2021,"['Home', 'Kultura i rozrywka', 'Muzyka', 'Instrumenty muzyczne']",389,48,2.704zł,3.380zł,-20%,Kytary
86,https://www.pepper.pl/promocje/garmin-varia-rtl515-684299,Garmin Varia RTL515,"['Home', 'Elektronika', 'Garmin']",380,65,645zł,-1,-1,place_of_bargain_price_not_available
87,https://www.pepper.pl/promocje/pampers-splasher-maja-rozmiar-paczki-3-4-96-pieluszek-8-x-12-pieluch-684287,"Pieluchy do pływania Pampers Splasher 3-4, 96 pieluszek (8x12)","['Home', 'Rodzina i dzieci', 'Pielęgnacja dzieci', 'Pieluchy', 'Pampers']",345,52,27zł,160zł,-83%,Amazon.de
88,https://www.pepper.pl/promocje/the-north-face-borealis-classic-684340,Plecak The North Face BOREALIS CLASSIC,"['Home', 'Moda', 'Akcesoria modowe', 'Bagaż', 'Plecaki']",1442,209,250zł,374zł,-33%,Zalando
89,https://www.pepper.pl/promocje/microsoft-xbox-bezprzewodowy-kontroler-pad-czerwony-czarny-bialy-amazonpl-683477,Microsoft Xbox Bezprzewodowy kontroler pad Czerwony / Biały [amazon.pl],"['Home', 'Gaming', 'Xbox']",2648,131,"185,54zł",-1,-1,Amazon.pl
90,https://www.pepper.pl/promocje/20-na-narzedzia-akumulatorowe-parkside-performance-oraz-akumulatory-rabat-na-max-3-sztuki-at-lidl-stacjonarnie-684323,-20% na Parkside Performance - narzędzia akumulatorowe. Oraz akumulatory. Rabat na max 3 sztuki. @Lidl stacjonarnie,"['Home', 'Różne', 'Supermarket']",537,99,160zł,200zł,-20%,Lidl
91,https://www.pepper.pl/promocje/18-czesciowy-serwis-kawowy-vivo-peach-marka-villeroy-boch-limango-683974,18-częściowy serwis kawowy ViVo Peach - marka Villeroy & Boch [Limango],"['Home', 'Dom i mieszkanie']",357,6,"138,45zł",499zł,-72%,Limango
92,https://www.pepper.pl/promocje/microsoft-xbox-bezprzewodowy-kontroler-pad-zielony-18734zl-lub-bardziej-zielony-18554zl-684325,"Microsoft Xbox Bezprzewodowy kontroler pad zielony (187,34zł) lub bardziej zielony, biały, niebieski i czerwony, czarny (185,54zł)","['Home', 'Gaming', 'Xbox']",2536,87,"187,34zł","199,99zł",-6%,Amazon.pl
